id,url,expert_1,expert_2,platform,theme,value,value_item,value_item_alter,justification,clarification,opinion,violation_type,violation_type_alter,rating
95,https://github.com/dbukowski/DBDebugToolkit,Exp E,Exp Y,IOS+,Security & Privacy,Security,Family Security,Software Security,"The API describes ""Sending console output by email with device and system information"". The console output might contain sensitive information. Sending this by mail breaches the Family Security value as it may expose personal data that might potentially compromise a user's personal or family security.","My justification is based on the fact that 'API X' presents a direct feature of ""Sending console output by email with device and system information."" This console output can potentially hold sensitive information related to the user's activities or app usage data. When this data is sent via email, it leaves the secure boundaries of the app and user's device, and travels through internet servers where it may be intercepted or fall into the wrong hands. This is a direct breach to the 'Family Security' value as it may lead to unauthorized access or misuse of the personal or family-related data, thus potentially compromising their security. Such a breach occurs regardless of the intention of the design or whether the user is aware of it. Since this feature is directly stated and not hypothetical, it shows a clear violation of the Family Security (v6.2) value item associated with the Security (v6) value in Schwartz's Taxonomy from the perspective of an 'App User'.",Agreed-Justified,Data Access Without Consent,,valid
96,https://github.com/vasilenkoigor/BiometricAuth,Exp G,Exp Y,IOS+,Security & Privacy,Self Direction,Privacy,,The feature that allows saving a feature list requiring authentication via TouchID means that identifiable biometric data might be unnecessarily exposed; collected; and perhaps stored. There is no mention in the documentation of how this data is secured; possibly violating the App User's Privacy under the value category Self Direction. The App User shouldn‚Äö√Ñ√∂‚àö√ë‚àö¬•t have to share private information unnecessarily or pass personal Privacy boundaries to use the app's functionalities.,"Sure, let me clarify. In simple terms, 'API X' has a feature that requires users to authenticate certain functionalities of a mobile application using their biometric data via TouchID (a type of personal, identifiable data). This data exposure happens each time users allow biometric authentication and it is not clear how this data is secured, stored or who has access to it. Thus, 'API X' could potentially violate the Privacy aspect of the 'App User's' Self-Direction value, as their biometric data may be exposed, potentially leading to identity theft, unauthorized use of personal information, or other breaches of privacy. The key point is that users are required to compromise their privacy in order to fully access and use certain features of the mobile application.",Agreed-Justified,Unauthorized Biometric Data Use,,valid
97,https://github.com/vasilenkoigor/BiometricAuth,Exp A,Exp Y,IOS+,Security & Privacy,Security,Family Security,Software Security,API's documentation indicates the potential for additional fingerprints to be added to the device for authentication purposes. However; it does not provide clarity on what happens when a family member's fingerprint is added; who may also use the same device but doesn't want their data to be used by the app. This feature could jeopardize Family Security under the value Security as it presents potential breaches in securing the family's biometric data from unauthorized access or misuse. The app user needs to secure their family's Privacy and maintain their device's Security features within the context of their family use.,"The potential breach of the value ""Family Security"" (v6.2) under the value ""Security"" (v6) by the ""API X"" lies in its biometric authentication feature that does not discriminate between fingerprints. Considering that several members of a family could use the same mobile device, the potential for one's biometric data (specifically, fingerprints) to be misused rises, particularly when the documentation does not provide safeguards or controls on whose fingerprints can be added. To an app user, this implies an insecure environment for their family's biometric data. This lack of specificity threatens the security of their family's privacy and poses a risk of unauthorized access or misuse, thereby directly contravening ""Family Security"" within the context of an app user's family device usage.",Agreed-Clarified,Invasion of Privacy,,valid
98,https://github.com/Kelin-Hong/MVVMLight,Exp B,Exp X,Android+,Development Essentials,Tradition,Respect for Tradition,,"The API documentation describes the feature ""global message broadcast"" that disregards user preferences and imposes global messaging functionality. This can breach the value item Respect for Tradition (v7.3) under the value Tradition (v7) as the traditional communication patterns respecting individual preferences and cultural norms may be overlooked or disrupted.","Sure, I'd be glad to further clarify. The feature ""global message broadcast"" in 'API X' enables the indiscriminate broadcasting of messages to all users regardless of their individual choices or preferences. This presents a direct breach of the value item Respect for Tradition (v7.3) because it doesn't respect established norms and conventions in communication. In traditional communication channels, a message is typically addressed to a specific recipient, respecting cultural norms and individual preferences. Those norms function to preserve social harmony and respect individuals' desired levels of engagement. This API strips away the selectivity in communication, which is at odds with tradition and established norms.",Agreed-Justified,Erosion of Traditional Skills,,Invalid
100,https://github.com/RobertApikyan/LifecycleMvp,Exp F,Exp X,Android+,Development Essentials,Security,Healthy,,"In the same vein; the handling of user data by the LifecycleMvp library without explicit mechanisms for controlling personal information may jeopardize users' health. This could arise from the stress of knowing their data is being handled with limited control over its manipulation. As such; this could be seen as a violation of the ""Healthy"" value item under the ""Security"" value.","I understand the concern. Here's my elaboration: The LifecycleMvp in 'API X' doesn't feature any settings or tools for end-users to manage their data, it's all foreground. Not having control over data can create stress and anxiety for some users as they might worry about possible misuse or exploitation of their information. This fear and stress are not conducive to a healthy mental state. Thus, this absence of explicit user data control in 'API X' can violate the 'Healthy' value item related to mental health under the value of 'Security' as it potentially compromises users' perceived sense of security around their data. This doesn't imply the API causes physical harm, but it underlines the mental aspect of health related to anxiety and stress from misuse of data.",Agreed-Justified,Anxiety from Inadequate Data Control,,valid
101,https://github.com/SysdataSpA/KTAndroidArchitecture,Exp A,Exp Y,Android+,Developer Productivity,Security,Sense of Belonging,,"In ""3.7 Testing"" part of the API documentation; it‚Äö√Ñ√∂‚àö√ë‚àö¬•s mentioned that; ""If you use the `safeExecute()` method call; whenever there's an error; it will fallback to an `InternalError` failure in case of an exception; saving you from an application crash."" However; this does not prevent or warn the user about the error; just preventing the app from crashing which can subsequently impact 'App User's' 'Sense of Belonging;' hence violating the value item 'Sense of Belonging' and its corresponding value 'Security.' They need to feel they are part of the interaction process with the mobile app; in which getting informed about an error or preventing one is a crucial factor.","The violation of the value item 'Sense of Belonging' and its corresponding value 'Security' stems from the potential inadequate user interaction this API feature promotes. The 'safeExecute()' function merely prevents the app from crashing without necessarily informing the user about an error event. This could limit the user's awareness and control over their interaction with the app, leaving them oblivious to potential issues. It may create an environment where the user feels detached or excluded from the communication loop within the mobile app, indirectly impacting their sense of belonging. Their security can also feel compromised as they're not informed about potential issues, hence not being able to take any preventive steps. This provides a clearer correlation between the 'API X' function and the violation of Schwartz's value item.",Agreed-Justified,Mental Health Impact by API Miscommunication,,valid
103,https://github.com/arturbosch/detekt,Exp E,Exp Y,Android+,Developer Productivity,Power,Preserving My Public Image,,"The API documentation states ""Code smell analysis for your [Kotlin](https://kotlinlang.org/) projects."" This violates the 'Preserving My Public Image' value item under 'Power'. As an 'App User'; the results of scanning the code could potentially affect the user experience of an app by triggering unwanted behaviors.","The 'API X' performs a code smell analysis of mobile applications, which could expose potential weaknesses or flaws in the codebase that may not necessarily impact the app's functionality but could reflect poorly on the organization that created it. When users of the mobile app learn about these code smells, there could be a perceived deterioration of the mobile app's reliability, and, by extension, the image of the organisation that created it. This is in violation of the 'Preserving My Public Image' value item under the 'Power' value, as the app users usually prefer to engage with apps presented by credible and reliable entities and might distance themselves from the app or its parent organization once such code smells become publicly known.",Agreed-Justified,Privacy Breach through Data Leakage,,Invalid
104,https://github.com/arturbosch/detekt,Exp F,Exp X,Android+,Developer Productivity,Security,Social Order,,"The API documentation mentions ""Highly configurable rule sets"". This may breach the 'Social Order' value item under 'Security'. If an app using this API allows for too much customization of rules without maintaining a base set of standardized rules; it might cause chaos and confusion for the end users; disturbing the established social order within the app‚Äö√Ñ√∂‚àö√ë‚àö¬•s community.","The user value item 'Social Order,' fitting under the broader value of 'Security,' emphasizes the importance of stability, harmony, and uniformity within a user's social environment. The ""Highly configurable rule sets"" capability of 'API X' may infringe on this value by allowing individual users the ability to significantly alter the rules of functionality or interaction within the app. Users developing their own set of rules may disturb the equilibrium of expectations and interactions within an app's community, leading to a perceived lack of social order and security. With diverse rule sets, the app's environment may become chaotic, unpredictable, or even prone to misuse, causing discomfort and insecurity among users who value a balanced and predictable social setting.",Agreed-Justified,Excessive Configuration Complexity,,valid
105,https://github.com/arturbosch/detekt,Exp G,Exp Y,Android+,Developer Productivity,Security,Family Security,Software Security,"In the API documentation; it mentions ""Support for different report formats: HTML; Markdown; [SARIF](https://sarifweb.azurewebsites.net/); XML (Checkstyle) and custom reports."" This could breach the 'Family Security' value item under 'Security'. As an 'App User'; having bounds of data in various formats could introduce vulnerabilities and potentially affect information security; not only of the user but possibly their family as well as the data may contain private or sensitive information.","The ""Support for different report formats: HTML, Markdown, [SARIF](https://sarifweb.azurewebsites.net/), XML (Checkstyle) and custom reports,"" feature of 'API X', although advantageous from a development perspective, risks the 'Family Security' Value Item under the 'Security' Value for an 'App User'. Here's why: As these reports may contain sensitive user data, opening several formats for user data creates additional avenues for potential data breaches. Each format may have specific vulnerabilities that malicious entities could exploit, leading to information insecurity. Depending on the nature of the extracted data, an inadvertent leak might indirectly affect family members of the user, given that information about one family member can inevitably reveal sensitive details about others. Therefore, the potential of multiple data formats to increase security risks directly contradicts the 'Family Security' value item, manifesting as a breach.",Agreed-Clarified,Exploitation Risk,,valid
106,https://github.com/hummatli/AppCrossPromoter,Exp A,Exp Y,Android+,Developer Productivity,Stimulation,Variation in Life,,"The API provides a feature for cross-promoting apps which could lead to a constant inflow of new content and disruptions. This can be seen as a breach of the value item ""Variation in Life"" as it might contribute to the saturation of content; reducing the potential for meaningful variation and discovery in the users' app experiences.","In using 'API X', an App User could find the constant promotion of other apps to be a distraction, reducing their opportunity to appreciate and explore their existing app preferences. It is this continual introduction of new applications that potentially contravenes the value item ""Variation in Life"" under the value ""Stimulation"". Instead of allowing users the space and freedom to seek out new experiences at their own pace, this feature may bombard users with constant suggestions, thereby saturating their app experiences and reducing the novelty and joy of discovering fresh and engaging content. Consequently, it may result in less stimulating and varied digital interaction, undermining the user's pursuit of a varied life.",Agreed-Clarified,Restricted Creative Potential,,valid
107,https://github.com/hummatli/AppCrossPromoter,Exp C,Exp X,Android+,Developer Productivity,Security,Reciprocation of Favors,,"The cross-promotion feature; as described in the API documentation; can promote apps without reciprocity or mutual agreement between the app user and the app provider. It breaches the value item ""Reciprocation of Favours"" under the value ""Security"" as the user is made to accept promoted content without an exchange of benefits.","The app user's values are violated by the cross-promotion feature of 'API X' due to the unreciprocated nature of the promotion process. Most users expect a fair exchange of benefits when they interact with an app feature. However, with the cross-promotion feature, users are bombarded with app promotions without getting any personalised benefit or value in return. They may feel invaded or exploited with unsolicited promotions, which contradicts the value item ""Reciprocation of Favors"" under ""Security."" The security here refers to an app user's sense of gaining equal benefits from their interactions with the app, which in this case, is breached. Hence, the cross-promotion functionality directly violates this value item in Schwartz's Taxonomy.",Agreed-Justified,Ignoring User Benefit for Corporate Gain,,valid
108,https://github.com/hehonghui/AndroidEventBus,Exp D,Exp Y,Android+,Developer Productivity,Power,Preserving My Public Image,,API allows inter-component communication without proper data privacy controls. It may potentially breach the value Preserving My Public Image; by potentially leaking sensitive user information to unintended components. This can lead to damage to the user's public image especially if the leaked information is sensitive.,"My justification highlights the potential of 'API X' to leak sensitive user data. As 'API X' enables communication between different components such as Activities, Fragments, Threads, Services, etc., there's a risk it could divulge confidential user information. If data privacy controls aren't stringently applied, information may be obtained by unintended recipients or misused, violating the user value of Preserving My Public Image. For instance, if a user's private data related to health or financial status was disclosed publicly within an app context, this could damage the user's public reputation or image. Thus, the API functionality can pose a risk to the value of Power borne by the app user.",Agreed-Reconciled,Privacy Breach through Data Leakage,,valid
109,https://github.com/hehonghui/AndroidEventBus,Exp E,Exp Y,Android+,Developer Productivity,Universalism,Equality,,API could breach the value item Equality from the value Universalism because it does not provide explicit mechanisms to prevent unauthorized components accessing user-specific information. This can lead to unequal and discriminated treatment of users based on the leaked information.,"The API, as documented, does not explicitly outline any features or mechanisms in place for data protection or prevention of unauthorized information access, and this lack of data security could lead to a breach of the value item 'Equality'. Within a mobile app context, if unauthorized components are able to access and exploit user-specific information, app users could potentially be subject to unequal treatment or discrimination. This could happen if personal information is used to manipulate the user's experience of the app, offer differential service, or if the information is sold to third parties who could engage in discriminatory practices. Consequently, the API does contravene the 'Universalism' value and 'Equality' value item in its lack of explicit safeguards against such breaches.",Agreed-Justified,Data Usage Inequality,,Invalid
110,https://github.com/hamsterksu/android-appversion-gradle-plugin,Exp G,Exp Y,Android+,Developer Productivity,Security,Reciprocation of Favors,,API's function of generating 'versions.properties' file without the 'App User's' request or knowledge could be viewed as an unreciprocated action imposed on the 'App User.' According to the documentation; this function activates when 'supportBuildNumber' is turned on and can potentially overuse the mobile device's storage; thus breaching the value item 'Reciprocation of Favors' from the value 'Security' because the 'App User' might not desire this feature or find it beneficial but would nonetheless bear the consequences of occupied storage and potential privacy concerns.,"Sure, I understand your skepticism and will provide further clarity. The API X automatically initiates the generation of the 'versions.properties' file and stores it in the app user's device once the 'supportBuildNumber' function is enabled. Even though this feature could be beneficial from the developer's standpoint for maintaining versioning information, it may not be requested or equally desirable by the end user of the mobile app. By forcefully storing files on the user's device without their explicit request or knowledge, API X implicitly performs an unreciprocated action. Furthermore, this function could potentially monopolize storage space on the user's mobile device and may even raise potential privacy concerns. Therefore, from an app user's perspective, this particular feature of API X could be seen as violating the 'Reciprocation of Favors' value item from the 'Security' value in Schwartz‚Äö√Ñ√∂‚àö√ë‚àö¬•s Taxonomy.",Agreed-Clarified,Unilateral Decision-Making in User Interactions,,Invalid
111,https://github.com/codechimp-org/AppRater,Exp B,Exp X,Android+,Developer Productivity,Power,Social Recognition,,"The ""AppRater"" API includes features that prompt users to rate the application with minimal choice to decline; sometimes forcing them to either rate the app or ask them to rate later by disabling ""No Thanks"" button. This potentially infringes on the individual's social recognition; as their voluntary and genuine feedback may unduly be influenced by these repetitive prompts and they may feel their opinions are not genuinely recognized or appreciated.","The justification for breaching ""Social Recognition"" under the value ""Power"" is linked to the manipulation of the user's decision-making process. ""AppRater"" API prompts users to rate the application and even provides the feature to eliminate a decline option, thereby pressuring users into providing a rating. The app user's feedback, which is an extension of their social voice, may no longer be genuine as it is coerced rather than voluntarily given. Consequently, the API intrudes on the value of Social Recognition, as it does not fully respect the user's autonomy to provide an authentic rating, hinting at possible manipulation or disregard for the user's independently formed opinion.",Agreed-Clarified,Intrusive Feedback Solicitation,,valid
112,https://github.com/codechimp-org/AppRater,Exp C,Exp X,Android+,Developer Productivity,Security,Healthy,,"As per the documentation ""AppRater"" API prompts the users repetitively until they rate; this might cause stress or irritability to a user which is not healthy. The application shows disregard for the user's well-being and mental health; which explicitly breaches the value item ""Healthy"".","The ""AppRater"" API, as outlined in its documentation, is designed to periodically prompt users to rate the app, which could potentially result in repeated disturbances. This constant intrusion possibly disrupts users' peace of mind and affects their mental wellbeing. In the context of mobile app usage, this could be viewed as affecting their digital health. Schwartz's Taxonomy considers ""Healthy"" under the broader value category of ""Security"". Within an app environment, ""Healthy"" can be extended to mean mental peace and stress-free interaction with the app. When an app persists in prompting users for reviews, it's disrupting their experience, possibly leading to stress or irritation. These negative impacts on user's mental wellbeing, directly breach the value item ""Healthy"", hence affecting their ""Security"" within the context of app usage.",Agreed-Justified,Mental Health Impact from Disturbances,,valid
113,https://github.com/TutorialsAndroid/crashx,Exp E,Exp Y,Android+,Testing & Debugging,Security,Healthy,,CrashX API; as indicated in the documentation; does not inherently consider the end user's wellbeing. The library cannot prevent the application from crashing; it only alters the crash message. As a result; it may not contribute to a healthy user experience by ensuring app stability.,"While engaging with a mobile app, a user expects it to function as expected without crashing unexpectedly. However, the CrashX API does not prevent crashes from occurring, serving only to display a customizable message when the app does encounter such a failure. This potentially abrupt disruption of a user's interaction with the app can lead to a negative experience or even stress, both of which can be viewed as detriments to the user's mental health. Therefore, the API appears to violate the value item ""Healthy"" under Schwartz's ""Security"" value, as it fails to ensure a stable, stress-free, and thus, healthy, end-user experience.",Agreed-Clarified,App Stability Risk,,valid
114,https://github.com/karthyks/Crashlytics-Android,Exp G,Exp Y,Android+,Testing & Debugging,Self Direction,Privacy,,According to the 'API' documentation; user info can be injected into the Crashlytics system if the mobile app has a login feature. This can be a violation of the value item Privacy as the API seems to allow a collection of user information without explicitly mentioning whether users are given control over this or whether there is a mechanism for users to opt out of this.,"In this particular scenario where the Privacy (v1.6) under Self-Direction (v1) value item is violated, the key aspect to note is how 'API X', specifically through its Crashlytics feature, handles user data. The documentation indicates that ""If your app has login feature, then the user info can be injected into the Crashlytics"" and this appears to happen automatically in the event of a crash. By using this functionality, the user's information is shared and processed, without any specific mention of user consent or options for the user to control this data sharing. In the absence of these considerations, the user's privacy - their freedom from unnecessary intrusions into their private life, and the very personal ability to regulate their own information - is threatened, clearly breaching the value item of Privacy.",Agreed-Justified,Privacy Data Handling Concern,,valid
115,https://github.com/karthyks/Crashlytics-Android,Exp A,Exp Y,Android+,Testing & Debugging,Security,Healthy,,The API documentation mentions a feature that stores events locally in the event of any exceptions thrown during the onEventOccurred method execution. These locally stored events might contribute to app crashes. This can breach the Health value as it might frustrate users causing stress if the app crashes regularly. Regular crashes might also result in users spending more time on the phone trying to troubleshoot which might lead to harmful effects on their health.,"In clarification, the feature in 'API X' of storing events locally due to exceptions can lead to app instability, resulting in frequent crashes. This has a direct impact on the 'App User' by causing frustration and potential anxiety - a violation of the 'Healthy' value item under the 'Security' value. The issue here is not merely about mechanical functionality, but the emotional and mental stress an unstable app can cause users. Frequent crashes interrupt the overall user experience, possibly leading the user to spend an excessive amount of time troubleshooting the app. The resulting worry and time spent can negatively impact a user's mental well-being, contradicting the value item 'Healthy.'",Agreed-Clarified,App Stability Risk,,valid
118,https://github.com/jasonwyatt/Android-DebugPort,Exp F,Exp X,Android+,Testing & Debugging,Self Direction,Privacy,,"The API documentation describes the feature ""DebugPort"" that allows the execution of code within the app's context at runtime. This can breach the value item Privacy under the value Self Direction as it could potentially give access to user-specific data and usage details; hence infrally retrieving user details without explicit consent.","Sure, I'd be happy to elaborate. The ""Android DebugPort"", as described in the API documentation, essentially creates a window into the app for real-time code execution and state modification, all of which is done in the app's context and during runtime. From an 'App User' perspective, such a feature, even if exclusively designed for debugging purposes, presents a potential breach of their Privacy. By allowing this live execution of code, users' activities, data interactions, and personal information could potentially be accessed and manipulated without explicit knowledge or consent, violating their right to privacy and infringing upon the value of Self-Direction by potentially limiting their control over their own information within the app environment.",Agreed-Justified,Privacy Data Handling Concern,,valid
119,https://github.com/jasonwyatt/Android-DebugPort,Exp G,Exp Y,Android+,Testing & Debugging,Power,Preserving My Public Image,,The API documentation mentions that the DebugPort server can be run in a production build. This could breach the value item Preserving My Public Image under the value Power. The functionality could expose potential vulnerabilities in the application; which can be exploited by attackers; leading to negative impacts on the user's online reputation and public image.,"The API X provides a DebugPort utility that allows code execution in an App's context in real-time. If malicious actors gain access to this functionality, they can inspect and modify the application's state. This opens possibility for misuse, including tampering with user data and accessing sensitive user information (e.g., personal details, financial data, usernames, passwords, etc.). Any such incident can be harmful to an 'App User' reputation, breaking their trust in preserving their public image, which is tied to the value of Power in Schwartz's Taxonomy. Any unauthorized access or data breach can negatively impact users' cybersecurity, thereby damaging their public image, especially if they use the same affected App for professional or public engagements.",Agreed-Clarified,Privacy Breach through Data Leakage,,valid
120,https://github.com/mauriciotogneri/green-coffee,Exp B,Exp X,Android+,Testing & Debugging,Stimulation,Excitement in Life,,"API is labeled as relevant to the 'Excitement in Life' and its corresponding value 'Stimulation' with the following justification: The 'API' documentation describes a usage scenario where an error message ""Invalid credential' is displayed when a user inputs incorrect login information. This is a negative reinforcement causing a decrease in stimulation and excitement in life for the app user; leading to a less enjoyable app experience.","Sure, I would be happy to provide further clarification. In Schwartz's Taxonomy, 'Excitement in Life' falls under 'Stimulation' value, which describes seeking excitement, novelty, and challenge in life. When we look at the API X, its functionality to display an error message ""Invalid credentials"" when a wrong login information is entered, can be dissatisfying for end users. Such error messages or technical glitches can be frustrating and may decrease the overall stimulation and joy of browsing the app, as it disrupts the usual, smooth, app-browsing experience. The user may not feel excited or challenged in a positive way by entering login details repeatedly; rather, they may feel burdened and annoyed, hence a direct breach of 'Excitement in Life' value from the user's perspective.",Agreed-Justified,Restrictive User Interaction,,Unresolved
121,https://github.com/maaaaz/androwarn,Exp F,Exp X,Android+,Testing & Debugging,Security,Family Security,Software Security,The API documentation reveals potential leakage of geolocation information; such as GPS/WiFi geolocation. This can lead to significant threats to family security if the information ends up in the wrong hands. This directly contravenes the value item Family Security (v6.2) under the value Security.,"The feature of geolocation information leakage, mentioned clearly in the API documentation, poses a considerable risk to the user's family security as it exposes the user's, and by extension their family's habitual pattern and location to potential threats. It is plausible that the user's children or other family members could be using the mobile app. The family's location could be used maliciously by individuals or organizations who gain this data. This goes against the value of 'Family Security' (v6.2) which seeks to protect and establish a safe environment for an individual's family, especially in a digital context‚Äö√Ñ√∂‚àö√ë‚àö√Üit's a direct infringement on the user's desire to keep their family safe and secure.",Agreed-Justified,Geolocation Information Leakage,,valid
122,https://github.com/maaaaz/androwarn,Exp G,Exp Y,Android+,Testing & Debugging,Self Direction,Privacy,,The API documentation states that the tool performs PIM data leakage; which includes contacts; calendar; SMS; and mails. This signifies that private or personal information of the user is accessed and potentially shared without user's knowledge or consent; which is a direct violation of the Privacy value item (v1.6).,"Sure, I understand your concern. The API, 'Androwarn', operates in a way that it performs analysis and collects data from an Android application, including the user's personal and sensitive data (PIM data leakage). PIM data, as per the API documentation, can include contacts, calendar, SMS, and emails. These are fundamental components of a user's privacy. The breaching takes place because this API accesses and possibly shares this data as part of its analysis, without explicitly alerting or receiving consent from the end user who is using the mobile app incorporating this API. This clear intrusion into personal information strongly undermines the user's privacy (v1.6) and their ability for self-direction (v1) in controlling and safeguarding their own private information. So, the API, with its stated functionality, is in direct violation of these value items from Schwartz's Taxonomy from the perspective of an end user of an app that employs this API.",Agreed-Justified,Misuse of Personal Data,,valid
123,https://github.com/osama-raddad/FireCrasher,Exp B,Exp X,Android+,Testing & Debugging,Achievement,Successful,,The API prevents the app from crashing and recovers it to ensure continuous usage. Although this feature is useful; it could be argued that it breaches the value item Successful; part of the Achievement value; because success might mean achieving goals beyond merely using an app. The API's recovery approach might indirectly discourage users from diversifying their activities or pursuing other meaningful goals.,"The value item ""Successful,"" under the value ""Achievement,"" signifies achieving personal goals and ambitions. However, ""API X,"" by continually recovering an app from crashing, can intervene, particularly when a user's goal is to stop using the app that frequently fails and shift focus to more reliable or useful apps or activities, thus indirectly hindering users from being successful in achieving their broader personal targets. Despite its beneficial intention, the API, by imposing a constant recovery process, may inadvertently limit users' app alternatives or exploration of other productive endeavors, paradoxically contrasting with their success value.",Agreed-Reconciled,Security Measures Impeding Success,,Unresolved
124,https://github.com/AppliKeySolutions/CosmoCalendar,Exp D,Exp Y,Android+,User Interface Design,Self Direction,Privacy,,The documentation for API describes features for selecting and disabling days in a calendar. However; it does not provide any details about whether users can control this selection and disabling or if the app developer will only have this control. This can potentially violate the value item 'Privacy' (v1.6); as users' selection of days might indicate their personal schedule and availability; which they might not want to reveal without explicit control over this feature.,"My justification relies on the absence of user control over the calendar selection and disabling days feature indicated in the API documentation. The API allows for specific dates to be marked or disabled, potentially indicating a user's personal schedule or unavailability to an application developer but it doesn't detail any user control over this. This lack of user control could translate to a lack of privacy on the user's end as private scheduling information could be revealed without their explicit permission. This directly negates the 'Privacy' value item under 'Self Direction' in Schwartz's Taxonomy due to the potential privacy concerns arising from a mismatch of control over personal information.",Agreed-Clarified,Privacy Data Handling Concern,,valid
125,https://github.com/AppliKeySolutions/CosmoCalendar,Exp F,Exp X,Android+,User Interface Design,Security,Family Security,Software Security,The feature of connecting certain days as described in the API documentation; while useful; could potentially pose a risk to 'Family Security' (v6.2) under the broad value of 'Security' (v6). If the app involving API was shared among family members; and the connecting of certain days revealed patterns that could be exploited; this could raise certain security risks from the perspective of an 'App User.',"The 'Connected days' feature of API X allows users to mark certain days in the calendar which get highlighted in a unique way. However, if an App User shares this calendar app with other family members, they could potentially use this feature to mark sensitive events such as days when the house will be empty. This API does not explicitly state any functionality to secure or privatize these marked days, implying that this data could be visible to anyone who has access to the app. In a real-world context, this information could be exploited by someone with malicious intent to plan a burglary or similar type of crime, hence, breaching the 'Family Security' value in Schwartz's Taxonomy.",Agreed-Justified,Exploitation Risk,,valid
126,https://github.com/NikhilBhutani/EasyDataAnalyzer,Exp A,Exp Y,Android+,Data Management & Analysis,Self Direction,Privacy,,The API documentation states that 'API' analyzes the network data information for any app in an Android device. This breaches the 'Privacy' under the value of 'Self Direction' as it violates the right of the app users to lead their digital life without having their app usage being analysed.,"Sure. The API 'EasyDataAnalyzer' fundamentally operates by analysing the network data information pertaining to any app used in an Android device, which may include data received, data transmitted, packets transmitted, and other relevant details. The very essence of this API's functionality directly infringes on an 'App User's' 'Privacy' under the value of 'Self Direction'. The value of 'Self Direction‚Äö√Ñ√∂‚àö√ë‚àö¬• emphasizes independent thought and action. When an app user downloads an app, they generally assumes that their actions within that app are private unless specified otherwise explicitly. However, this API, by its own admission in the documentation, analyzes user activities in other apps at a network level. This clearly violates the user's inherent 'Privacy' and thus the value of 'Self Direction', as it takes away their control over their actions within the privacy of their apps.",Agreed-Justified,Insecure Network Communication,,valid
127,https://github.com/NikhilBhutani/EasyDataAnalyzer,Exp B,Exp X,Android+,Data Management & Analysis,Power,Preserving My Public Image,,API' analyzes the network data information for any app in an Android device. The information includes data received and transmitted by the app; and the number of packets received and transmitted by the app. This could potentially disclose usage habits that individual users may not want to be public; breaching the value item 'Preserving My Public Image' under the value 'Power'.,"Sure, I understand your concern. 'API X' allows for the collection of data concerning app usage, such as the amount of data transmitted and received, which is, in essence, a user's digital footprint. When this information is processed, it could reveal insights into the behavioral patterns, preferences, or interests of users. For instance, high data usage for a music app might indicate frequent use or a strong interest in music. This information, if disclosed publicly or to unauthorized parties, could harm users' public image, especially if the data suggests behavior that is socially stigmatized or private. Thus, this infringes on users' ability to control or preserve their public image, which is a key aspect of the value 'Power'.",Agreed-Clarified,Privacy Breach through Data Leakage,,valid
128,https://github.com/nolia/Noodle,Exp C,Exp X,Android+,Data Management & Analysis,Stimulation,Daring,,"API allows collection persistence; which might encourage unnecessary data hoarding and misuse of storage; leading to an overload of irrelevant information. This violates the value item ""Daring"" (v2.1) as part of the wider value of ""Stimulation"" (v2) as it does not encourage users to be daring or adventurous in leaving their comfort zone by dealing with only relevant and required data.","I understand the confusion, and I apologize if my previous justification wasn't clear enough. The argument here is that API X, by promoting persistent data collection, could discourage users from having to face the challenge of handling and interacting with only the essential data. Most users tend to hoard unnecessary data due to the fear of losing potentially important information. The feature in API X indirectly enables this less daring behavior, in contrast to the value item ""Daring"" (v2.1) as part of the ""Stimulation"" (v2) value, which encourages taking risks, facing challenges and stepping out of one's comfort zone. The perspective here isn't about whether data collection itself is ""daring"" or not, but how this feature might affect the user's way of interaction and engagement with the app.",Agreed-Clarified,Risk Management Failure,Encouraging Less Daring Behavior,Invalid
130,https://github.com/futuresimple/android-db-commons,Exp F,Exp X,Android+,Data Management & Analysis,Achievement,Capable,,"The documentation of ""API"" notes that the library is under heavy development and its stability cannot be guaranteed. This could potentially lead to an app crashing or malfunctioning; thus obstructing the app user in their goal to use the app effectively and may breach the value item ""Capable"" in the value ""Achievement"". The user might feel incapable to achieve their goals with the app due to unexpected failures of the API.","Sure. When an app users are using a mobile application, they value a seamless, uninterrupted experience. The value of 'Achievement' in Schwartz's taxonomy revolves around the user's ability to be competent, successful, and meet their goals standards. If an API that the app uses is under heavy development and unstable, it can cause the app to malfunction or even crash. This directly impinges upon the user's ability (or capability) to successfully use the app and reach their goals, be it booking a ride, ordering food, connecting with friends, or any other function the app may serve. Therefore, the instability of 'API X' directly violates the 'Capable' value item under the 'Achievement' value for the app user.",Agreed-Justified,Complex Integration Process,,valid
